,UKPRN,normalised_name,common_name,STREET_NAME,TOWN,POSTCODE,WEBSITE_URL,longitude,latitude,top_level_web_domain,region
83,10007657.0,WRITTLE COLLEGE,Writtle College,LORDSHIP ROAD,CHELMSFORD,CM1 3RR,http://www.writtle.ac.uk/,0.428134,51.737004,writtle.ac.uk,Eastern
84,10004063.0,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,London School of Economics & Political Science,HOUGHTON STREET,LONDON,WC2A 2AE,http://www.lse.ac.uk/,-0.11670699999999999,51.513968,lse.ac.uk,London
85,10004351.0,MIDDLESEX UNIVERSITY,Middlesex University,THE BURROUGHS,LONDON,NW4 4BT,http://www.mdx.ac.uk/,-0.228415,51.589717,mdx.ac.uk,London
86,10007773.0,OPEN UNIVERSITY(THE),Open University(The),,MILTON KEYNES,MK7 6AA,http://www.open.ac.uk/,-0.709726,52.024924,open.ac.uk,South East
87,10006022.0,SOUTHAMPTON SOLENT UNIVERSITY,Southampton Solent University,EAST PARK TERRACE,SOUTHAMPTON,SO14 0YN,http://www.solent.ac.uk/,-1.4001569999999999,50.907738,solent.ac.uk,South East
88,10000975.0,BUCKINGHAMSHIRE NEW UNIVERSITY,Buckinghamshire New University,QUEEN ALEXANDRA ROAD,HIGH WYCOMBE,HP11 2JZ,http://www.bucks.ac.uk/,-0.752021,51.627518,bucks.ac.uk,South East
89,10007167.0,UNIVERSITY OF YORK,University of York,,YORK,YO10 5DD,http://www.york.ac.uk/,-1.053553,53.948437,york.ac.uk,Yorkshire and The Humber
90,10007151.0,UNIVERSITY OF LINCOLN,University of Lincoln,CAMPUS WAY,LINCOLN,LN6 7TS,http://www.lincoln.ac.uk/,-0.549237,53.228855,lincoln.ac.uk,East Midlands
91,10007784.0,UNIVERSITY COLLEGE LONDON,University College London,GOWER STREET,LONDON,WC1E 6BT,http://www.ucl.ac.uk/,-0.133401,51.524774,ucl.ac.uk,London
92,10000886.0,UNIVERSITY OF BRIGHTON,University of Brighton,LEWES ROAD,BRIGHTON,BN2 4AT,http://www.brighton.ac.uk/,-0.11914200000000001,50.842448,brighton.ac.uk,South East
93,10004113.0,LOUGHBOROUGH UNIVERSITY,Loughborough University,,LOUGHBOROUGH,LE11 3TU,http://www.lboro.ac.uk/,-1.229467,52.764892,lboro.ac.uk,East Midlands
94,10007833.0,GLYNDWR UNIVERSITY,Glyndwr University,MOLD ROAD,WREXHAM,LL11 2AW,http://www.glyndwr.ac.uk/,-3.00564,53.052979,glyndwr.ac.uk,Wales
95,10007771.0,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,London School of Hygiene and Tropical Medicine,KEPPEL STREET,LONDON,WC1E 7HT,http://www.lshtm.ac.uk/,-0.130661,51.520927,lshtm.ac.uk,London
96,10003956.0,LIVERPOOL HOPE UNIVERSITY,Liverpool Hope University,TAGGART AVENUE,LIVERPOOL,L16 9JD,http://www.hope.ac.uk/,-2.891936,53.391491,hope.ac.uk,North West
97,10007147.0,UNIVERSITY OF HERTFORDSHIRE,University of Hertfordshire,COLLEGE LANE,HATFIELD,AL10 9AB,http://www.herts.ac.uk/,-0.24215,51.752882,herts.ac.uk,Eastern
98,10007157.0,UNIVERSITY OF SHEFFIELD,University of Sheffield,WESTERN BANK,SHEFFIELD,S10 2TN,http://www.shef.ac.uk/,-1.488709,53.381409,shef.ac.uk,Yorkshire and The Humber
99,10007143.0,UNIVERSITY OF DURHAM,University of Durham,STOCKTON ROAD,DURHAM,DH1 3LE,http://www.dur.ac.uk/,-1.571868,54.768149,dur.ac.uk,North East
100,10004797.0,NOTTINGHAM TRENT UNIVERSITY,Nottingham Trent University,BURTON STREET,NOTTINGHAM,NG1 4BU,http://www.ntu.ac.uk/,-1.152002,52.956382999999995,ntu.ac.uk,East Midlands
101,10007805.0,UNIVERSITY OF STRATHCLYDE,University of Strathclyde,RICHMOND STREET,GLASGOW,G1 1XQ,http://www.strath.ac.uk/,-4.244586,55.861363,strath.ac.uk,Scotland
102,10007137.0,THE UNIVERSITY OF CHICHESTER,The University of Chichester,COLLEGE LANE,CHICHESTER,PO19 6PE,http://www.chi.ac.uk/,-0.774409,50.844268,chi.ac.uk,South East
103,10007764.0,HERIOT-WATT UNIVERSITY,Heriot-Watt University,,CURRIE,EH14 4AS,http://www.hw.ac.uk/,-3.320697,55.909397999999996,hw.ac.uk,Scotland
104,10007769.0,LONDON BUSINESS SCHOOL,London Business School,SUSSEX PLACE,LONDON,NW1 4SA,http://www.london.edu/,-0.161353,51.526583,london.edu,London
105,10006840.0,UNIVERSITY OF BIRMINGHAM,University of Birmingham,,BIRMINGHAM,B15 2TT,http://www.birmingham.ac.uk/,-1.930855,52.448986,birmingham.ac.uk,West Midlands
106,10007842.0,THE UNIVERSITY OF CUMBRIA,The University of Cumbria,FUSEHILL STREET,CARLISLE,CA1 2HH,http://www.cumbria.ac.uk/,-2.921482,54.891124,cumbria.ac.uk,North West
107,10007792.0,UNIVERSITY OF EXETER,University of Exeter,STOCKER ROAD,EXETER,EX4 4PY,http://www.exeter.ac.uk/,-3.5343699999999996,50.735199,exeter.ac.uk,South West
108,10005790.0,SHEFFIELD HALLAM UNIVERSITY,Sheffield Hallam University,POND STREET,SHEFFIELD,S1 1WB,http://www.shu.ac.uk/,-1.465255,53.379212,shu.ac.uk,Yorkshire and The Humber
109,10007852.0,UNIVERSITY OF DUNDEE,University of Dundee,PERTH ROAD,DUNDEE,DD1 4HN,http://www.dundee.ac.uk/,-2.97848,56.4572,dundee.ac.uk,Scotland
110,10005700.0,SRUC,Sruc,KING'S BUILDINGS WEST MAINS ROAD,EDINBURGH,EH9 3JG,http://www.sruc.ac.uk/,-3.176533,55.921606999999995,sruc.ac.uk,Scotland
111,10007776.0,ROEHAMPTON UNIVERSITY,Roehampton University,ROEHAMPTON LANE,LONDON,SW15 5PJ,http://www.roehampton.ac.uk/,-0.24598299999999998,51.455119,roehampton.ac.uk,London
112,10007159.0,UNIVERSITY OF SUNDERLAND,University of Sunderland,CHESTER ROAD,SUNDERLAND,SR1 3SD,http://www.sunderland.ac.uk/,-1.391361,54.904502,sunderland.ac.uk,North East
113,10000291.0,ANGLIA RUSKIN UNIVERSITY,Anglia Ruskin University,BISHOP HALL LANE,CHELMSFORD,CM1 1SQ,http://www.anglia.ac.uk/,0.474311,51.741265999999996,anglia.ac.uk,Eastern
114,10007766.0,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON","Institute of Education, University of London",BEDFORD WAY,LONDON,WC1H 0AL,http://www.ioe.ac.uk/,-0.12848099999999998,51.523472999999996,ioe.ac.uk,
115,10007855.0,SWANSEA UNIVERSITY,Swansea University,SINGLETON PARK,SWANSEA,SA2 8PP,http://www.swansea.ac.uk/,-3.9806489999999997,51.609621999999995,swansea.ac.uk,Wales
116,10005553.0,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Royal Holloway College and Bedford New College,EGHAM HILL,EGHAM,TW20 0EX,http://www.rhul.ac.uk/,-0.567199,51.425323,rhul.ac.uk,South East
117,10007777.0,ROYAL COLLEGE OF ART(THE),Royal College of Art(The),KENSINGTON GORE,LONDON,SW7 2EU,http://www.rca.ac.uk/,-0.178449,51.501355,rca.ac.uk,London
118,10007822.0,CRANFIELD UNIVERSITY,Cranfield University,COLLEGE ROAD,BEDFORD,MK43 0AL,http://www.cranfield.ac.uk/,-0.628735,52.073929,cranfield.ac.uk,Eastern
119,10007767.0,UNIVERSITY OF KEELE,University of Keele,,NEWCASTLE,ST5 5BG,http://www.keele.ac.uk/,-2.274598,53.003969,keele.ac.uk,West Midlands
120,10003863.0,LEEDS TRINITY UNIVERSITY,Leeds Trinity University College,BROWNBERRIE LANE,LEEDS,LS18 5HD,http://www.leedstrinity.ac.uk/,-1.6481,53.848572999999995,leedstrinity.ac.uk,Yorkshire and The Humber
