institution,address,latitude,longitude,region,description
University Of Manchester,"C24, Sackville Street Building, Granby Row, Manchester, UK",53.47634,-2.23603,North West,"University Of Manchester, C24, Sackville Street Building, Granby Row, Manchester, UK"
"The University of Edinburgh, School of Biological Sciences","Room 4325C, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",55.921804,-3.1736720000000003,Scotland,"The University of Edinburgh, School of Biological Sciences, Room 4325C, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD"
University of Birmingham,Murray Learning Centre - UG08 (Monday) and LG13 (Thursday),52.45069300000001,-1.935646,West Midlands,"University of Birmingham, Murray Learning Centre - UG08 (Monday) and LG13 (Thursday)"
University of Birmingham,Physics Poynting - P09,52.449875,-1.928941,West Midlands,"University of Birmingham, Physics Poynting - P09"
The University of Edinburgh - Lister Learning and Teaching Centre (Central Area),"2.14 - Teaching Studio, Lister Learning and Teaching Centre (Central Area). 5 Roxburgh Place, Edinburgh, EH8 9SU",55.94745699999999,-3.184586,Scotland,"The University of Edinburgh - Lister Learning and Teaching Centre (Central Area), 2.14 - Teaching Studio, Lister Learning and Teaching Centre (Central Area). 5 Roxburgh Place, Edinburgh, EH8 9SU"
Swansea University,"Room 516, Vivian Tower, Swansea University, Singleton Park, Swansea SA2 8PP",51.609049,-3.9825904999999997,Wales,"Swansea University, Room 516, Vivian Tower, Swansea University, Singleton Park, Swansea SA2 8PP"
"University of Edinburgh, GeoSciences (Drummond St)","Room 2.02, Old Infirmary (Geography), 1 Drummond Street, Edinburgh, EH8 9XP",55.948253,-3.183886,Scotland,"University of Edinburgh, GeoSciences (Drummond St), Room 2.02, Old Infirmary (Geography), 1 Drummond Street, Edinburgh, EH8 9XP"
Earlham Institute,"Norwich Research Park, Norwich, NR4 7UZ",52.621741,1.218987,Eastern,"Earlham Institute, Norwich Research Park, Norwich, NR4 7UZ"
School of Clinical Medicine,"E-Learning3, Level 2, School of Clinical Medicine, Cambridge Biomedical Campus, Cambridge CB2 0SP",52.1869,0.1374,Eastern,"School of Clinical Medicine, E-Learning3, Level 2, School of Clinical Medicine, Cambridge Biomedical Campus, Cambridge CB2 0SP"
University of Birmingham,Muirhead - 118,52.451703,-1.9293220000000002,West Midlands,"University of Birmingham, Muirhead - 118"
University of Birmingham,Murray Learning Centre - UG10,52.45069300000001,-1.935646,West Midlands,"University of Birmingham, Murray Learning Centre - UG10"
University of St Andrews,"Seminar Rooms 1 & 2, School of Medicine, University of St Andrews, North Haugh, St Andrews, Fife, KY16 9TF. Scotland UK",56.340782999999995,-2.8079810000000003,Scotland,"University of St Andrews, Seminar Rooms 1 & 2, School of Medicine, University of St Andrews, North Haugh, St Andrews, Fife, KY16 9TF. Scotland UK"
The University of Manchester Library,"Teaching suite 4.1,The University of Manchester Library, Oxord road, Manchester, M13 9PP",53.48095,-2.23743,North West,"The University of Manchester Library, Teaching suite 4.1,The University of Manchester Library, Oxord road, Manchester, M13 9PP"
University of St Andrews,"Parliament Hall, University of St Andrews, St Mary's College, St Andrews, KY16 9JU",56.339324,-2.7939830000000003,Scotland,"University of St Andrews, Parliament Hall, University of St Andrews, St Mary's College, St Andrews, KY16 9JU"
"Western General Hospital, Ediniburgh","Computing Lab 1, Medical Education Centre, Crewe Rd S, Edinburgh EH4 2XU",55.96286,-3.2318599999999997,Scotland,"Western General Hospital, Ediniburgh, Computing Lab 1, Medical Education Centre, Crewe Rd S, Edinburgh EH4 2XU"
University of Manchester,"Stopford Building, 99 Oxford Rd, Manchester M13 9PG",53.464090399999996,-2.2296408,North West,"University of Manchester, Stopford Building, 99 Oxford Rd, Manchester M13 9PG"
CRUK Cambridge Institute,Room 009,52.176783,0.135569,Eastern,"CRUK Cambridge Institute, Room 009"
"University College London, High-Energy Physics Group","Room B1.15A, Cruciform Building, UCL, Gower Street WC1E 6BT",51.523999999999994,-0.13512000000000002,London,"University College London, High-Energy Physics Group, Room B1.15A, Cruciform Building, UCL, Gower Street WC1E 6BT"
University College London,"Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ",51.52538039,-0.132326449,London,"University College London, Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ"
Imperial College London,"CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ"
"Computing Lab 1, Medical Education Centre","Crewe Rd S, Edinburgh EH4 2XU",55.96286,-3.2318599999999997,Scotland,"Computing Lab 1, Medical Education Centre, Crewe Rd S, Edinburgh EH4 2XU"
King's College London,"5th Floor Bermondsey Building, Large AALB Seminar Room. Guy's Hospital",51.493632,-0.07396699999999999,London,"King's College London, 5th Floor Bermondsey Building, Large AALB Seminar Room. Guy's Hospital"
Software Carpentry @ Oxford University,"Oxford e-Research Centre (7 Keble Road ,Oxford, OX1 3QG)",51.760053000000006,-1.258617,South East,"Software Carpentry @ Oxford University, Oxford e-Research Centre (7 Keble Road ,Oxford, OX1 3QG)"
"Western General Hospital, Ediniburgh","Computing Lab 1, Medical Education Centre, Crewe Rd S, Edinburgh EH4 2XU",55.96286,-3.2318599999999997,Scotland,"Western General Hospital, Ediniburgh, Computing Lab 1, Medical Education Centre, Crewe Rd S, Edinburgh EH4 2XU"
UCL,"Room D3, Physics Building, Gower Street London WC1E 6BT, UCL, London",51.52528389,0.133528483,London,"UCL, Room D3, Physics Building, Gower Street London WC1E 6BT, UCL, London"
University of Birmingham,"CCB Large Meeting & Teaching Room, Haworth Building (Y2)",52.450237,-1.934362,West Midlands,"University of Birmingham, CCB Large Meeting & Teaching Room, Haworth Building (Y2)"
Imperial College London,"Huxley 340 and 341, South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, Huxley 340 and 341, South Kensington Campus, Imperial College London, SW7 2AZ"
The University of Edinburgh,"Teaching Studio LG.07, David Hume Tower, George Sq, EH8 9JX, Edinburgh",55.94424,-3.19018,Scotland,"The University of Edinburgh, Teaching Studio LG.07, David Hume Tower, George Sq, EH8 9JX, Edinburgh"
University of Southampton,Lab G1 (166/21),50.89267,-1.39459,South East,"University of Southampton, Lab G1 (166/21)"
The University of Edinburgh,"James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh",55.921711,-3.173591,Scotland,"The University of Edinburgh, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh"
University of Oxford,"Seminar Rooms 1-2, Level 2, New Radcliffe House, 49 Walton Street, Oxford OX2 6AE",51.760206,-1.2665389999999999,South East,"University of Oxford, Seminar Rooms 1-2, Level 2, New Radcliffe House, 49 Walton Street, Oxford OX2 6AE"
UCL,"25 Gordon Street - First Floor Cluster (105), UCL, London",51.525652,-0.133414,London,"UCL, 25 Gordon Street - First Floor Cluster (105), UCL, London"
University of Birmingham,Sportex G84,52.448434,-1.936395,West Midlands,"University of Birmingham, Sportex G84"
"Basement Lab, Humanities Bridgeford St. Building, Cathie Marsh Institute for Social Research",University of Manchester,53.466722,-2.236463,North West,"Basement Lab, Humanities Bridgeford St. Building, Cathie Marsh Institute for Social Research, University of Manchester"
Software Carpentry workshop - University Of Manchester,"Room 3.214, Univeristy Place, Wilmslow Road, Manchester",53.466944999999996,-2.233305,North West,"Software Carpentry workshop - University Of Manchester, Room 3.214, Univeristy Place, Wilmslow Road, Manchester"
University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201951,0.12251400000000001,Eastern,"University of Cambridge, Bioinformatics Training Room, Craik-Marshall Building, Downing Site"
University College London,"25 Gordon Street, First Floor Public Cluster (room 105)",51.525652,-0.133414,London,"University College London, 25 Gordon Street, First Floor Public Cluster (room 105)"
ARCHER-SSI Software Carpentry @ London School of Economics and Political Science,"Workspace 4, LSE LIFE, LSE Library: The British Library of Political and Economic Science, 10 Portugal St, London WC2A 2HD",51.51469,-0.115698,London,"ARCHER-SSI Software Carpentry @ London School of Economics and Political Science, Workspace 4, LSE LIFE, LSE Library: The British Library of Political and Economic Science, 10 Portugal St, London WC2A 2HD"
Imperial College London,"CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ"
University of Edinburgh,"LG.07 Teaching Studio, David Hume Tower,  George Square, Edinburgh, EH8 9JX",55.943197999999995,-3.186577,Scotland,"University of Edinburgh, LG.07 Teaching Studio, David Hume Tower,  George Square, Edinburgh, EH8 9JX"
Imperial College London,"Sir Ernst Chain building 311, South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, Sir Ernst Chain building 311, South Kensington Campus, Imperial College London, SW7 2AZ"
University of Manchester,"School of Computer Science, IT Building, Room IT407, Oxford Road, M13 9PL",53.467376,-2.234033,North West,"University of Manchester, School of Computer Science, IT Building, Room IT407, Oxford Road, M13 9PL"
University of Edinburgh,"Room EW06/07, Argyle House, Lady Lawson Street, Edinburgh",55.9465787,-3.2032138999999997,Scotland,"University of Edinburgh, Room EW06/07, Argyle House, Lady Lawson Street, Edinburgh"
Plotting and Programming in Python - Aberystwyth University,"Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ",52.4159,-4.0659,Wales,"Plotting and Programming in Python - Aberystwyth University, Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ"
King's College London,"King's College London Guy's Campus, London, SE1 3RR",51.504001,-0.08779400000000001,London,"King's College London, King's College London Guy's Campus, London, SE1 3RR"
UCL,"Cruciform Hub cluster room, Cruciform Building, Gower St, London, WC1E",51.524253,-0.13508399999999998,London,"UCL, Cruciform Hub cluster room, Cruciform Building, Gower St, London, WC1E"
Version Control with Git - Aberystwyth University,"Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ",52.4159,-4.0659,Wales,"Version Control with Git - Aberystwyth University, Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ"
Imperial College London,"CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ"
University of Southampton,Building 67 / room 1007 and Building 32 / room 3077,50.936714,-1.3966,South East,"University of Southampton, Building 67 / room 1007 and Building 32 / room 3077"
The Unix Shell - Aberystwyth University,"Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ",52.4159,-4.0659,Wales,"The Unix Shell - Aberystwyth University, Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ"
The University of Leeds,"Liberty Building 1.14, University of Leeds Western Campus, Moorland Rd, Leeds LS3 1DB",53.808152,-1.5709498,Yorkshire and The Humber,"The University of Leeds, Liberty Building 1.14, University of Leeds Western Campus, Moorland Rd, Leeds LS3 1DB"
University of St Andrews,"Lecture Theatre 2, The Gateway, University of St Andrews, North Haugh, St Andrews, Fife, KY16 9RJ",56.341241000000004,-2.809415,Scotland,"University of St Andrews, Lecture Theatre 2, The Gateway, University of St Andrews, North Haugh, St Andrews, Fife, KY16 9RJ"
Imperial College London,"CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner), South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner), South Kensington Campus, Imperial College London, SW7 2AZ"
University of Manchester,"Room C24, Sackville Street Building, 60 Sackville Street, Manchester M1 3WE",53.47614,-2.234798,North West,"University of Manchester, Room C24, Sackville Street Building, 60 Sackville Street, Manchester M1 3WE"
