institution,country_code,taught_workshops,taught_workshop_dates,domains,badges,badges_dates,airport,airport_code,airport_latitude,airport_longitude
University of Edinburgh,GB,"2016-01-11-huddersfield,2019-11-12-edinburgh-sbs","2016-01-11,2019-11-12","High performance computing,Organismal biology (ecology, botany, zoology, microbiology)","swc-instructor,dc-instructor","2015-12-08,2017-01-16",Edinburgh,EDI,55.95,-3.3725
Wellcome Trust Sanger Institute,GB,"2016-01-11-huddersfield,2017-07-03-ngb-leeds","2016-01-11,2017-07-03","Computer science/electrical engineering,Genetics, genomics, bioinformatics",swc-instructor,2016-03-01,Stansted,STN,51.885,0.235
University of Leeds,GB,2016-06-16-leeds,2016-06-16,Humanities,swc-instructor,2016-01-19,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Leeds,GB,,,Mathematics/statistics,swc-instructor,2016-01-19,Leeds,LBA,53.865832999999995,-1.6605560000000001
The University of Manchester,GB,"2017-11-06-manchester,2018-07-03-manchester,2018-11-19-manchester,2019-02-21-manchester,2019-05-09-manchester,2019-07-25-ttt-online-BST,2019-10-08-ttt-manchester,2020-01-20-ttt-CEST","2017-11-06,2018-07-03,2018-11-19,2019-02-21,2019-05-09,2019-07-25,2019-10-08,2020-01-20","High performance computing,Planetary sciences (geology, climatology, oceanography, etc.),Physics",swc-instructor,2016-01-19,Manchester,MAN,53.353611,-2.274722
The University of Manchester,GB,,,,swc-instructor,2017-09-26,Manchester,MAN,53.353611,-2.274722
Newcastle University,GB,,,Computer science/electrical engineering,"swc-instructor,dc-instructor","2016-03-29,2021-03-22",Newcastle,NCL,55.0375,-1.6916669999999998
University of Oxford,GB,,,,swc-instructor,2017-12-22,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,GB,"2018-09-24-Imperial,2020-12-07-spelman-SBDH","2018-09-24,2020-12-07",Computer science/electrical engineering,swc-instructor,2015-10-22,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,GB,"2017-09-25-UCL_software_carpentry,2019-07-15-UCL_software_carpentry","2017-09-25,2019-07-15",,swc-instructor,2017-11-13,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Bradford,GB,"2015-10-29-Leeds-DC,2016-12-05-oxford,2017-10-12-oxford-swc,2018-02-22-KCL,2018-10-17-oxford-swc,2018-05-03-KCL,2019-10-14-bradford,2021-02-18-kpoterlowicz","2015-10-29,2016-12-05,2017-10-12,2018-02-22,2018-10-17,2018-05-03,2019-10-14,2021-02-18","Education,Genetics, genomics, bioinformatics",dc-instructor,2016-01-30,Manchester,MAN,53.353611,-2.274722
Imperial College London,GB,,,Computer science/electrical engineering,swc-instructor,2016-01-19,London Heathrow,LHR,51.4775,-0.46138900000000005
Ansys,GB,"2021-03-19-ansys-online,2021-03-01-ansys,2021-04-08-ansys-online,2021-05-14-ansys-online,2021-06-11-ansys-online,2021-07-02-ansys-online","2021-03-01,2021-03-01,2021-04-08,2021-05-14,2021-06-11,2021-07-02","Space sciences,Physics",swc-instructor,2015-12-08,Stansted,STN,51.885,0.235
Imperial College London,GB,,,"Computer science/electrical engineering,Education,Mathematics/statistics",swc-instructor,2016-04-19,London Heathrow,LHR,51.4775,-0.46138900000000005
UCL,GB,"2015-11-10-UCL_software_carpentry,2016-12-13-UCL_software_carpentry,2015-06-18-ucl,2021-07-19-UCL-software-carpentry-online","2015-11-10,2016-12-13,2015-06-18,2021-07-19","Psychology/neuroscience,Social sciences,Humanities",swc-instructor,2021-09-22,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,GB,"2016-02-17-UCL_software_carpentry,2015-11-10-UCL_software_carpentry,2016-09-22-UCL_software_carpentry,2018-09-06-oxford","2016-02-17,2015-11-10,2016-09-22,2018-09-06","High performance computing,Genetics, genomics, bioinformatics,Mathematics/statistics",swc-instructor,2018-08-29,London Heathrow,LHR,51.4775,-0.46138900000000005
Daresbury Laboratory,GB,,,"Computer science/electrical engineering,Mathematics/statistics,High performance computing",swc-instructor,2016-04-13,Manchester,MAN,53.353611,-2.274722
University of Sheffield,GB,"2017-07-26-Sheffield,2017-08-16-sheffield,2018-11-26-sheffield","2017-07-26,2017-08-16,2018-11-26","Civil, mechanical, chemical, or nuclear engineering,Computer science/electrical engineering,High performance computing",swc-instructor,2017-06-15,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564
University of St Andrews,GB,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-05-30-standrews,2019-09-23-standrews","2018-11-27,2018-12-10,2019-05-02,2019-05-30,2019-09-23","Mathematics/statistics,Computer science/electrical engineering",swc-instructor,2019-01-11,RAF Leuchars Airport,ADX,56.3728981,-2.8684399
Kew Royal Botanic Gardens,GB,,,,dc-instructor,2016-03-09,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,GB,,,,swc-instructor,2016-02-19,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,GB,"2017-04-27-UCL_software_carpentry,2018-06-26-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2020-09-30-UCL","2017-04-27,2018-06-26,2019-04-08,2020-09-30",,swc-instructor,2017-06-01,London City,LCY,51.505,0.05416699999999999
University College London,GB,"2017-07-25-UCL_software_carpentry,2017-10-12-london","2017-07-25,2017-10-12","Mathematics/statistics,Genetics, genomics, bioinformatics,Computer science/electrical engineering",swc-instructor,2017-07-06,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Huddersfield,GB,"2017-07-17-imperial,2017-07-19-imperial,2017-07-03-ngb-leeds","2017-07-17,2017-07-19,2017-07-03","Education,Genetics, genomics, bioinformatics",swc-instructor,2017-01-24,Manchester,MAN,53.353611,-2.274722
"EPCC, University of Edinburgh",GB,2016-02-16-EPCC,2016-02-16,Mathematics/statistics,dc-instructor,2018-05-15,Edinburgh,EDI,55.95,-3.3725
"EPCC, The University of Edinburgh",GB,"2017-06-01-Belfast,2017-05-09-edinburgh,2019-06-10-york,2019-10-29-cardiff,2020-11-02-cardiff-online,2020-10-19-edinburgh-online,2021-01-18-edinburgh-online,2021-06-21-edinburgh-online,2021-06-14-edinburgh-online,2021-12-06-edinburgh-online","2017-06-01,2017-05-09,2019-06-10,2019-10-29,2020-11-02,2020-10-19,2021-01-18,2021-06-21,2021-06-14,2021-12-06","Mathematics/statistics,Computer science/electrical engineering,High performance computing",dc-instructor,2018-03-01,Edinburgh,EDI,55.95,-3.3725
,GB,,,,swc-instructor,2018-02-05,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,GB,"2018-09-24-Imperial,2018-11-07-Imperial,2019-10-31-ttt-Imperial,2018-06-14-Imperial","2018-09-24,2018-11-07,2019-10-31,2018-06-14",,swc-instructor,2018-02-02,London Heathrow,LHR,51.4775,-0.46138900000000005
Earlham Institute,GB,"2017-10-10-norwich,2017-11-21-EI,2018-10-02-DC,2019-01-22-SWC,2019-03-05-earlham,2020-01-21-earlham,2020-06-30-earlham,2021-01-18-earlham,2021-03-01-earlham,2022-02-28-earlham-online,2022-01-24-earlham-online","2017-10-10,2017-11-21,2018-10-02,2019-01-22,2019-03-05,2020-01-21,2020-06-30,2021-01-18,2021-03-01,2022-02-28,2022-01-24","Computer science/electrical engineering,Genetics, genomics, bioinformatics",swc-instructor,2017-09-20,Norwich,NWI,52.675833,1.282778
Earlham Institute,GB,"2016-10-18-EI,2016-10-17-lincoln,2017-10-10-norwich,2017-11-21-EI,2018-10-02-DC,2019-01-22-SWC,2019-03-05-earlham,2020-03-03-earlham,2020-01-21-earlham","2016-10-18,2016-10-17,2017-10-10,2017-11-21,2018-10-02,2019-01-22,2019-03-05,2020-03-03,2020-01-21","Computer science/electrical engineering,Mathematics/statistics",dc-instructor,2017-08-24,Norwich,NWI,52.675833,1.282778
Teesside University,GB,"2016-06-07-TGAC,2017-04-26-norwich,2018-01-25-swansea,2019-01-29-elixir-Ljubljana,2018-12-06-edinburgh-dc-genomics,2018-05-16-elixir-slovenia,2020-06-25-edinburgh-dc-genomics,2021-01-26-RutgersUniversity-dc-genomics","2016-06-07,2017-04-26,2018-01-25,2019-01-29,2018-12-06,2019-05-15,2020-06-25,2021-01-26","Education,High performance computing,Medicine,Genetics, genomics, bioinformatics",swc-instructor,2017-04-21,Manchester,MAN,53.353611,-2.274722
,GB,2016-11-07-manchester,2016-11-07,,swc-instructor,2016-08-29,Manchester,MAN,53.353611,-2.274722
University College London,GB,,,"Genetics, genomics, bioinformatics","dc-instructor,swc-instructor","2016-12-08,2016-12-08",London Gatwick,LGW,51.148056,-0.190278
Public Health England,GB,,,"Mathematics/statistics,Medicine",swc-instructor,2016-12-08,London Heathrow,LHR,51.4775,-0.46138900000000005
The John Innes Centre,GB,,,"Physics,Mathematics/statistics,Genetics, genomics, bioinformatics,High performance computing",swc-instructor,2017-02-23,Norwich,NWI,52.675833,1.282778
University of Dundee,GB,"2017-01-09-dundee,2018-09-05-dundee,2018-03-20-dundee","2017-01-09,2018-09-05,2018-03-20",,swc-instructor,2018-10-22,Dundee,DND,56.4525,-3.025833
Met Office,GB,,,,swc-instructor,2017-03-16,Exeter,EXT,50.734444,-3.4138889999999997
Met Office,GB,,,"Planetary sciences (geology, climatology, oceanography, etc.)","swc-instructor,dc-instructor","2017-02-23,2017-02-23",Exeter,EXT,50.734444,-3.4138889999999997
Met Office,GB,,,,swc-instructor,2017-03-08,Exeter,EXT,50.734444,-3.4138889999999997
University of Oxford,GB,"2017-03-13-oxford,2016-12-05-oxford","2017-03-13,2016-12-05","Social sciences,Organismal biology (ecology, botany, zoology, microbiology)","dc-instructor,swc-instructor","2017-01-16,2017-01-16",London Heathrow,LHR,51.4775,-0.46138900000000005
University of Leeds,GB,"2016-06-27-leeds,2016-11-21-leeds,2016-09-14-leeds","2016-06-27,2016-11-21,2016-09-14","Social sciences,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2015-09-25,Leeds,LBA,53.865832999999995,-1.6605560000000001
British Library,GB,"2017-07-26-Sheffield,2017-03-07-sheffield-lc,2018-05-14-edinburgh,2021-05-18-nhs-online","2017-07-26,2017-03-07,2018-05-14,2021-05-18","Library and information science,Education,Computer science/electrical engineering",dc-instructor,2017-05-05,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Oxford,GB,"2014-11-27-elixiruk-manchester,2018-08-18-ttt-LatinAmerica,2019-04-25-rosario,2020-09-21-RAL","2014-11-27,2018-08-18,2019-04-25,2020-09-21","Computer science/electrical engineering,Library and information science",swc-instructor,2017-08-24,London Heathrow,LHR,51.4775,-0.46138900000000005
Microsoft,GB,"2017-08-16-sheffield,2018-05-24-ttt-online,2019-04-15-elixir-france,2019-04-22-ttt-online_WesternEurope,2019-06-19-ttt-online-WesternEurope","2017-08-16,2018-05-24,2019-03-25,2019-04-22,2019-06-19","High performance computing,Physics,Computer science/electrical engineering,Education,Mathematics/statistics",dc-instructor,2017-06-15,Manchester,MAN,53.353611,-2.274722
University of Oxford,GB,,,"Psychology/neuroscience,Computer science/electrical engineering,Mathematics/statistics",swc-instructor,2017-10-03,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,GB,"2017-03-13-oxford,2017-02-13-oxford,2018-01-09-oxford","2017-03-13,2017-02-13,2018-01-09","Physics,Computer science/electrical engineering",swc-instructor,2017-07-14,London Heathrow,LHR,51.4775,-0.46138900000000005
Bishop Grosseteste University,GB,"2017-07-26-Sheffield,2017-03-07-sheffield-lc","2017-07-26,2017-03-07","Genetics, genomics, bioinformatics,Library and information science,Mathematics/statistics",dc-instructor,2017-06-01,Manchester,MAN,53.353611,-2.274722
University of Oxford,GB,,,Computer science/electrical engineering,swc-instructor,2017-06-15,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Leeds,GB,,,"Chemistry,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2017-08-08,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Southampton,GB,"2017-11-08-southampton-swc,2017-08-01-southampton-dc,2018-10-09-umea","2017-11-08,2017-08-01,2018-10-09","Civil, mechanical, chemical, or nuclear engineering,Genetics, genomics, bioinformatics",dc-instructor,2017-09-07,Southampton,SOU,50.95,-1.356667
University of St Andrews,GB,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-06-04-edinburgh,2019-09-23-standrews,2020-11-06-standrews,2021-05-07-standrews-online,2021-05-21-standrews-online","2018-11-27,2018-12-10,2019-05-02,2019-06-04,2019-09-23,2020-11-06,2021-05-07,2021-05-21",,swc-instructor,2017-11-27,RAF Leuchars Airport,ADX,56.3728981,-2.8684399
Aberystwyth University,GB,"2018-04-10-Aberystwyth_shell,2018-04-24-Aberystwyth_git,2018-05-08-Aberystwyth_python,2019-11-19-aberystwyth,2019-11-06-aberystwyth,2020-06-09-supercomputingwales_python,2020-06-16-supercomputingwales_git,2020-05-26-supercomputingwales_unix","2018-04-10,2018-04-24,2018-05-08,2019-11-19,2019-11-06,2020-06-09,2020-06-16,2020-05-26","High performance computing,Computer science/electrical engineering",swc-instructor,2017-09-08,Birmingham,BHX,52.453610999999995,-1.7477779999999998
University College London,GB,"2017-07-25-UCL_software_carpentry,2017-09-25-UCL_software_carpentry,2017-12-14-UCL_software_carpentry,2018-04-25-UCL_software_carpentry","2017-07-25,2017-09-25,2017-12-14,2018-04-25",Psychology/neuroscience,swc-instructor,2017-09-13,London Gatwick,LGW,51.148056,-0.190278
Imperial College London,GB,2019-04-15-Imperial,2019-04-15,,swc-instructor,2019-04-08,,,,
University of Edinburgh,GB,,,"Organismal biology (ecology, botany, zoology, microbiology)",dc-instructor,2017-12-05,Edinburgh,EDI,55.95,-3.3725
University of Sheffield,GB,"2017-07-26-Sheffield,2018-11-26-sheffield","2017-07-26,2018-11-26",,swc-instructor,2019-02-19,East Midlands Airport,EMA,52.828193999999996,-1.334258
The University of Manchester,GB,"2017-11-06-manchester,2018-07-03-manchester,2018-05-15-swc-manchester","2017-11-06,2018-07-03,2018-05-15","Space sciences,Physics",swc-instructor,2017-12-05,Manchester,MAN,53.353611,-2.274722
"Hartree Centre, STFC",GB,,,"High performance computing,Physics,Civil, mechanical, chemical, or nuclear engineering,Computer science/electrical engineering,Mathematics/statistics",dc-instructor,2018-01-24,Manchester,MAN,53.353611,-2.274722
University of Strathclyde,GB,,,"Civil, mechanical, chemical, or nuclear engineering",swc-instructor,2018-01-24,Glasgow International Airport,GLA,55.8646,-4.43234
University of Sheffield; University of Leeds,GB,,,"Psychology/neuroscience,Computer science/electrical engineering,Humanities",swc-instructor,2018-01-24,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564
The University of Manchester,GB,,,Social sciences,dc-instructor,2017-12-05,Manchester,MAN,53.353611,-2.274722
The University of Manchester,GB,"2018-07-19-ss-dc-manchester,2020-06-04-sfc-online,2019-11-28-Cranfield,2019-12-12-Manchester,2020-06-16-sfc-online,2020-07-01-sfc-online,2020-10-13-ssi-online","2018-07-19,2020-06-04,2019-11-28,2019-12-12,2020-06-16,2020-07-01,2020-10-13","Humanities,Social sciences",dc-instructor,2018-03-23,Manchester,MAN,53.353611,-2.274722
The University of Manchester,GB,,,"High performance computing,Computer science/electrical engineering",swc-instructor,2017-11-13,Manchester,MAN,53.353611,-2.274722
The University of Manchester,GB,"2018-07-03-manchester,2018-03-08-manchester-swc","2018-07-03,2018-03-08","Mathematics/statistics,Computer science/electrical engineering,Physics",swc-instructor,2017-12-05,Bristol,BRS,51.3825,-2.718889
University of Cambridge,GB,,,"High performance computing,Planetary sciences (geology, climatology, oceanography, etc.),Physics",dc-instructor,2017-12-22,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Cambridge,GB,2019-03-19-oxford,2019-03-19,Computer science/electrical engineering,dc-instructor,2018-02-01,Stansted,STN,51.885,0.235
Earlham Institute,GB,"2017-10-10-norwich,2017-11-21-EI,2018-10-02-DC,2019-01-22-SWC,2019-03-05-earlham,2020-03-03-earlham,2020-01-21-earlham,2020-06-30-earlham,2022-02-28-earlham-online,2022-01-24-earlham-online","2017-10-10,2017-11-21,2018-10-02,2019-01-22,2019-03-05,2020-03-03,2020-01-21,2020-06-30,2022-02-28,2022-01-24","Genetics, genomics, bioinformatics,Computer science/electrical engineering",swc-instructor,2017-12-22,Norwich,NWI,52.675833,1.282778
University of Southampton,GB,2017-11-08-southampton-swc,2017-11-08,"Economics/business,High performance computing,Mathematics/statistics,Education,Library and information science,Social sciences",swc-instructor,2018-03-08,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Edinburgh,GB,"2017-09-26-oxford,2018-09-13-edinburgh,2019-02-18-edinburgh-business-school,2019-06-04-edinburgh,2019-11-15-edinburgh-library-carpentry,2020-04-29-sfc-online,2020-06-16-sfc-online,2020-11-25-edinburgh-dc-digital-humanities","2017-09-26,2018-09-13,2019-02-18,2019-06-04,2019-11-15,2020-04-29,2020-06-16,2020-11-25",Humanities,dc-instructor,2020-07-29,,,,
University of Birmingham,GB,,,"Physics,Mathematics/statistics",swc-instructor,2018-03-01,East Midlands Airport,EMA,52.828193999999996,-1.334258
University of Sheffield,GB,"2017-10-12-oxford-swc,2018-10-17-oxford-swc,2018-11-26-sheffield","2017-10-12,2018-10-17,2018-11-26","Genetics, genomics, bioinformatics",swc-instructor,2019-01-02,Manchester,MAN,53.353611,-2.274722
University College London,GB,"2017-12-14-UCL_software_carpentry,2018-04-25-UCL_software_carpentry,2018-06-26-UCL_software_carpentry,2018-09-26-UCL_software_carpentry,2018-11-07-UCL_software_carpentry,2019-07-15-UCL_software_carpentry","2017-12-14,2018-04-25,2018-06-26,2018-09-26,2018-11-07,2019-07-15","Civil, mechanical, chemical, or nuclear engineering,Physics,Computer science/electrical engineering,Chemistry,High performance computing,Mathematics/statistics",dc-instructor,2019-01-02,,,,
University College London,GB,"2018-06-26-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2019-07-09-rslondon,2019-09-25-UCL_software_carpentry,2020-02-18-UCL,2021-07-19-UCL-software-carpentry-online","2018-06-26,2019-04-08,2019-07-09,2019-09-25,2020-02-18,2021-07-19","Computer science/electrical engineering,Mathematics/statistics",swc-instructor,2019-12-08,,,,
University of Sheffield,GB,,,"Chemistry,Computer science/electrical engineering,Library and information science",swc-instructor,2019-01-30,,,,
Imperial College London,GB,,,"Genetics, genomics, bioinformatics,Medicine",swc-instructor,2017-11-27,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,GB,"2018-09-24-Imperial,2018-06-14-Imperial,2019-11-14-Imperial","2018-09-24,2018-06-14,2019-11-14","Chemistry,Physics,Education",swc-instructor,2018-02-05,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,GB,,,,swc-instructor,2017-12-12,,,,
"National Heart & Lung Institute, Imperial College",GB,2018-09-24-Imperial,2018-09-24,"Genetics, genomics, bioinformatics",swc-instructor,2018-02-05,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,GB,"2018-09-24-Imperial,2019-10-10-Imperial,2019-04-15-Imperial,2018-06-14-Imperial,2018-03-19-Imperial","2018-09-24,2019-10-10,2019-04-15,2018-06-14,2018-03-19","Genetics, genomics, bioinformatics",dc-instructor,2017-12-13,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,GB,2018-09-24-Imperial,2018-09-24,Computer science/electrical engineering,swc-instructor,2018-01-24,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,GB,,,"High performance computing,Education,Chemistry,Genetics, genomics, bioinformatics,Mathematics/statistics",swc-instructor,2018-02-06,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Southampton,GB,,,"Computer science/electrical engineering,High performance computing",swc-instructor,2018-03-07,Southampton,SOU,50.95,-1.356667
University of Southampton,GB,"2018-04-16-maxplanck,2019-02-14-elixir-luxembourg","2018-04-16,2019-02-11","Space sciences,Physics",swc-instructor,2018-02-01,Southampton,SOU,50.95,-1.356667
Imperial College London,GB,2018-11-07-Imperial,2018-11-07,Physics,swc-instructor,2018-02-05,London Heathrow,LHR,51.4775,-0.46138900000000005
"Cancer Research UK Cambridge Institute, Univeristy of Cambridge",GB,2019-01-15-CRUK-Cambridge-DCinR,2019-01-15,"Mathematics/statistics,Computer science/electrical engineering,Organismal biology (ecology, botany, zoology, microbiology),Genetics, genomics, bioinformatics",dc-instructor,2018-03-01,Norwich,NWI,52.675833,1.282778
"Department of Chemistry and Cancer Research UK - Cambridge Institute, University of Cambridge",GB,2018-06-28-cambridge,2018-06-28,"Mathematics/statistics,Chemistry,Genetics, genomics, bioinformatics,Computer science/electrical engineering,High performance computing",dc-instructor,2018-05-23,Stansted,STN,51.885,0.235
Imperial College London,GB,2018-03-19-Imperial,2018-03-19,"Computer science/electrical engineering,Planetary sciences (geology, climatology, oceanography, etc.),High performance computing,Mathematics/statistics",swc-instructor,2018-03-20,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Exeter,GB,,,"Planetary sciences (geology, climatology, oceanography, etc.),Mathematics/statistics,Computer science/electrical engineering,Physics",swc-instructor,2018-05-07,,,,
King's College London,GB,"2018-06-27-SpanishSWC,2018-11-01-london-kcl,2019-04-01-elxir-csc,2019-04-29-KCL,2019-06-03-KCL,2020-10-06-KCL-DTP,2021-03-15-unix-KCL","2018-06-27,2018-11-01,2019-04-01,2019-04-29,2019-06-03,2020-10-05,2021-03-15",,swc-instructor,2018-07-18,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Birmingham,GB,,,"Computer science/electrical engineering,Genetics, genomics, bioinformatics",swc-instructor,2018-04-25,Birmingham,BHX,52.453610999999995,-1.7477779999999998
"Advanced Research Computing, University of Birmingham",GB,"2018-09-24-python,2019-01-07-bham,2019-02-11-bham,2019-06-03-bham,2019-05-15-bham","2018-09-24,2019-01-07,2019-02-11,2019-06-03,2019-05-15","High performance computing,Genetics, genomics, bioinformatics,Mathematics/statistics,Computer science/electrical engineering",swc-instructor,2018-05-01,Birmingham,BHX,52.453610999999995,-1.7477779999999998
University of Manchester,GB,"2018-11-30-Manchester,2019-07-04-parma,2019-12-11-durham,2019-11-18-manchester,2020-06-22-UD-INBRE,2020-08-14-international,2020-11-12-cilip-mdg,2021-06-08-manchester-online,2021-07-13-manchester-online,2021-09-14-manchester-online","2018-11-30,2019-07-04,2019-12-11,2019-11-18,2020-06-22,2020-08-14,2020-11-12,2021-06-08,2021-07-13,2021-09-14",,swc-instructor,2018-05-23,,,,
University of Leeds,GB,,,"Computer science/electrical engineering,High performance computing",swc-instructor,2018-06-07,Leeds,LBA,53.865832999999995,-1.6605560000000001
Swansea University,GB,2021-04-26-swansea-online,2021-04-26,"Mathematics/statistics,High performance computing,Physics,Computer science/electrical engineering",swc-instructor,2021-04-26,,,,
University of Manchester,GB,"2019-02-21-manchester,2019-05-09-manchester,2019-11-18-manchester","2019-02-21,2019-05-09,2019-11-18","Mathematics/statistics,Computer science/electrical engineering",swc-instructor,2019-11-28,,,,
University College London,GB,"2019-11-04-UCL_software_carpentry,2021-03-09-UCL-software-carpentry","2019-11-04,2021-03-09","Genetics, genomics, bioinformatics",swc-instructor,2019-11-28,,,,
Imperial College London,GB,"2019-04-15-Imperial,2019-12-16-london-kcl","2019-04-15,2019-12-16","Organismal biology (ecology, botany, zoology, microbiology),Genetics, genomics, bioinformatics,Medicine",swc-instructor,2019-02-20,,,,
University of Sheffield,GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2018-11-13,,,,
Swansea University,GB,"2019-04-16-swansea,2019-01-28-swansea,2019-10-23-swansea,2020-01-08-swansea,2020-02-25-cardiff,2019-02-07-swansea,2020-06-09-supercomputingwales_python,2020-06-16-supercomputingwales_git,2020-05-26-supercomputingwales_unix,2021-01-25-swansea,2021-04-26-swansea-online,2021-10-18-swansea-online,2022-01-17-swansea-online,2021-11-10-swansea-online,2021-12-06-swansea-online","2019-04-16,2019-01-28,2019-10-23,2020-01-08,2020-02-25,2019-02-07,2020-06-09,2020-06-16,2020-05-26,2021-01-25,2021-04-26,2021-10-18,2022-01-17,2021-11-10,2021-12-06","High performance computing,Physics",swc-instructor,2018-11-13,,,,
University of Edinburgh,GB,"2018-09-13-edinburgh,2019-02-18-edinburgh-business-school,2019-05-06-edinburgh,2019-11-15-edinburgh-library-carpentry,2020-05-13-sfc-online,2020-06-16-sfc-online","2018-09-13,2019-02-18,2019-05-06,2019-11-15,2020-05-13,2020-06-16",Social sciences,swc-instructor,2019-01-02,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,2019-01-23-edinburgh-geosc-sc,2019-01-23,"High performance computing,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2018-12-20,Edinburgh,EDI,55.95,-3.3725
University of St Andrews,GB,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-05-30-standrews","2018-11-27,2018-12-10,2019-05-02,2019-05-30","Physics,Medicine",dc-instructor,2018-11-29,RAF Leuchars Airport,ADX,56.3728981,-2.8684399
University of Sheffield,GB,,,"Social sciences,Humanities,Library and information science",dc-instructor,2019-05-13,,,,
University of Leicester,GB,,,"Mathematics/statistics,High performance computing",swc-instructor,2018-11-05,,,,
Swansea University,GB,"2019-04-16-swansea,2019-01-28-swansea,2019-10-23-swansea,2020-01-08-swansea,2020-02-25-cardiff,2019-02-07-swansea,2019-12-04-swansea,2020-05-20-swansea,2020-06-09-supercomputingwales_python,2020-06-16-supercomputingwales_git,2020-05-26-supercomputingwales_unix,2020-10-19-swansea,2020-11-23-swansea,2021-01-25-swansea","2019-04-16,2019-01-28,2019-10-23,2020-01-08,2020-02-25,2019-02-07,2019-12-04,2020-05-20,2020-06-09,2020-06-16,2020-05-26,2020-10-19,2020-11-23,2021-01-25","High performance computing,Civil, mechanical, chemical, or nuclear engineering",swc-instructor,2018-12-20,,,,
The University of Manchester,GB,"2018-11-30-Manchester,2019-05-30-elixir-portugal,2019-12-11-durham,2020-11-12-cilip-mdg,2021-03-29-sfc-dc,2021-06-08-manchester-online","2018-11-30,2019-05-30,2019-12-11,2020-11-12,2021-03-29,2021-06-08","Computer science/electrical engineering,Mathematics/statistics,Education,Library and information science,Humanities,Economics/business",dc-instructor,2018-12-11,Manchester,MAN,53.353611,-2.274722
University of Cambridge,GB,,,"Genetics, genomics, bioinformatics",dc-instructor,2019-06-11,,,,
"MRC Toxicology Unit, Univeristy of Cambridge",GB,,,"Genetics, genomics, bioinformatics,Mathematics/statistics",swc-instructor,2019-11-17,,,,
University of Oxford,GB,2019-05-22-oxford,2019-05-22,"Genetics, genomics, bioinformatics,Computer science/electrical engineering",swc-instructor,2019-02-02,London Heathrow,LHR,51.4775,-0.46138900000000005
"Cancer Research UK Cambridge Institute, Univeristy of Cambridge",GB,"2019-01-15-CRUK-Cambridge-DCinR,2018-11-13-shell","2019-01-15,2018-11-13",Computer science/electrical engineering,dc-instructor,2019-03-25,,,,
University of Sheffield,GB,,,"Physics,Computer science/electrical engineering",swc-instructor,2019-03-04,,,,
University College London,GB,"2018-04-25-UCL_software_carpentry,2018-11-07-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2019-07-09-rslondon,2019-11-04-UCL_software_carpentry,2017-07-25-UCL_software_carpentry","2018-04-25,2018-11-07,2019-04-08,2019-07-09,2019-11-04,2017-07-25","Mathematics/statistics,Social sciences,Humanities,Library and information science,Education",swc-instructor,2019-05-09,,,,
"Bill Lyons Informatics Centre, UCL Cancer Institute",GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2019-02-15,,,,
The John Innes Centre,GB,,,"Genetics, genomics, bioinformatics",dc-instructor,2018-12-20,,,,
University of Manchester,GB,2020-11-12-cilip-mdg,2020-11-12,"Education,Library and information science",lc-instructor,2020-01-16,Manchester,MAN,53.353611,-2.274722
