institution,normalised_institution,latitude,longitude,country,country_code,region,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude
University of Durham,UNIVERSITY OF DURHAM,54.768149,-1.571868,United Kingdom,GB,North East,"2012-05-14-newcastle,2012-10-22-newcastle,2013-04-29-wisc","2012-05-14,2012-10-22,2013-04-29","{2012: 2, 2013: 1}",,['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,Durham Tees Valley Airport,MME,54.509201000000004,-1.42941
University of Exeter,UNIVERSITY OF EXETER,50.735199,-3.5343699999999996,United Kingdom,GB,South West,2017-09-26-Exeter,2017-09-26,{2017: 1},['Physics'],['swc-instructor'],['2015-01-21'],2015-01-21,,,,2015-01-21,2015,Bristol,BRS,51.3825,-2.718889
University of Cambridge,UNIVERSITY OF CAMBRIDGE,52.205317,0.11664200000000001,United Kingdom,GB,Eastern,,,,,['dc-instructor'],['2016-01-27'],,2016-01-27,,,2016-01-27,2016,Stansted,STN,51.885,0.235
King's College London,KING'S COLLEGE LONDON,51.510734,-0.11691199999999999,United Kingdom,GB,London,,,,['Computer science/electrical engineering'],['swc-instructor'],['2015-05-14'],2015-05-14,,,,2015-05-14,2015,Birmingham,BHX,52.453610999999995,-1.7477779999999998
The University of Manchester,THE UNIVERSITY OF MANCHESTER,53.467943000000005,-2.233222,United Kingdom,GB,North West,"2014-11-10-manchester,2015-12-14-wise-uk,2015-07-22-ljubljana,2016-10-05-nottingham,2017-03-02-manchester,2017-03-30-manchester,2017-07-13-ttt-online,2017-09-04-ttt-manchester,2017-12-05-ttt-southampton,2018-01-30-ttt-online-UK,2018-03-20-ttt-online,2018-07-19-ss-dc-manchester,2018-10-09-ttt-online,2019-01-22-ttt-online-westeurope,2019-09-25-ttt-leeds,2019-10-08-ttt-manchester,2020-05-28-ttt-edinburgh,2020-05-13-sfc-online,2020-04-16-sfc-online,2020-09-08-ttt-ssi-online,2021-03-16-ttt-online-SSI,2021-06-15-ttt-online-SSI,2021-11-30-ttt-online-SSI,2021-09-21-ttt-online-CDT,2021-09-14-manchester-online","2014-11-10,2015-12-14,2015-07-20,2016-10-05,2017-03-02,2017-03-30,2017-07-13,2017-09-04,2017-12-05,2018-01-30,2018-03-20,2018-07-19,2018-10-09,2019-01-22,2019-09-25,2019-10-08,2020-05-28,2020-05-13,2020-04-16,2020-09-08,2021-03-16,2021-06-15,2021-11-30,2021-09-21,2021-09-14","{2014: 1, 2015: 2, 2016: 1, 2017: 5, 2018: 4, 2019: 3, 2020: 4, 2021: 5}",['Computer science/electrical engineering'],"['swc-instructor', 'dc-instructor']","['2014-11-27', '2016-11-15']",2014-11-27,2016-11-15,,,2014-11-27,2014,Manchester,MAN,53.353611,-2.274722
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,"2015-01-14-leeds,2015-06-15-cambridge,2015-08-26-leeds","2015-01-14,2015-06-15,2015-08-26",{2015: 3},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics']",['swc-instructor'],['2014-12-13'],2014-12-13,,,,2014-12-13,2014,Leeds,LBA,53.865832999999995,-1.6605560000000001
,,,,United Kingdom,GB,London,2015-11-09-culham,2015-11-09,{2015: 1},"['Physics', 'Computer science/electrical engineering', 'Space sciences', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering']","['swc-instructor', 'dc-instructor']","['2014-12-11', '2016-11-15']",2014-12-11,2016-11-15,,,2014-12-11,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
Cranfield University,CRANFIELD UNIVERSITY,52.073929,-0.628735,United Kingdom,GB,Eastern,2020-02-10-turing,2020-02-10,{2020: 1},,['swc-instructor'],['2019-05-31'],2019-05-31,,,,2019-05-31,2019,Luton,LTN,51.874444,-0.36833299999999997
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2015-09-07-guildford,2016-02-17-UCL_software_carpentry,2016-06-22-UCL_software_carpentry,2016-12-13-UCL_software_carpentry,2016-09-22-UCL_software_carpentry,2017-04-27-UCL_software_carpentry,2018-09-26-UCL_software_carpentry,2019-10-21-swc-ntnu,2019-09-25-UCL_software_carpentry,2020-03-23-ttt-online-GMT,2020-04-06-ucl-online,2020-04-21-ucl-online,2020-09-30-UCL,2021-04-29-ttt-online-BST,2021-09-29-ucl-online","2015-09-07,2016-02-17,2016-06-22,2016-12-13,2016-09-22,2017-04-27,2018-09-26,2019-10-21,2019-09-25,2020-03-23,2020-04-06,2020-04-21,2020-09-30,2021-04-29,2021-09-29","{2015: 1, 2016: 4, 2017: 1, 2018: 1, 2019: 2, 2020: 4, 2021: 2}","['Physics', 'Space sciences']","['dc-instructor', 'swc-instructor']","['2016-12-01', '2013-11-17']",2013-11-17,2016-12-01,,,2013-11-17,2013,London City,LCY,51.505,0.05416699999999999
,,,,United Kingdom,GB,Scotland,"2017-05-11-edinburgh,2021-03-19-italia-online","2017-05-11,2021-03-19","{2017: 1, 2021: 1}",,"['swc-instructor', 'dc-instructor']","['2018-05-28', '2018-05-28']",2018-05-28,2018-05-28,,,2018-05-28,2018,Edinburgh,EDI,55.95,-3.3725
University of Strathclyde,UNIVERSITY OF STRATHCLYDE,55.861363,-4.244586,United Kingdom,GB,Scotland,"2015-11-16-manchester-codima,2016-10-17-edinburgh,2017-01-09-dundee,2017-03-23-standrews,2017-05-18-standrews,2016-01-11-dundee,2018-01-11-ireland,2018-09-05-dundee,2018-11-27-standrews,2019-05-30-standrews,2018-03-20-dundee,2021-05-11-strathclyde-online,2021-05-04-strathclyde-online","2015-11-16,2016-10-17,2017-01-09,2017-03-23,2017-05-18,2016-01-11,2018-01-11,2018-09-05,2018-11-27,2019-05-30,2018-03-20,2021-05-11,2021-05-04","{2015: 1, 2016: 2, 2017: 3, 2018: 4, 2019: 1, 2021: 2}","['High performance computing', 'Mathematics/statistics', 'Genetics', ' genomics', ' bioinformatics', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Chemistry']","['swc-instructor', 'dc-instructor']","['2015-01-07', '2016-01-27']",2015-01-07,2016-01-27,,,2015-01-07,2015,Glasgow International Airport,GLA,55.8646,-4.43234
University of Cambridge,UNIVERSITY OF CAMBRIDGE,52.205317,0.11664200000000001,United Kingdom,GB,Eastern,"2014-09-15-unimelb,2014-12-08-combine-r,2015-05-27-SWC-MCRI,2015-06-29-qaeco-unimelb,2015-09-28-unimelb-r-psychology","2014-09-15,2014-12-08,2015-05-27,2015-06-29,2015-09-28","{2014: 2, 2015: 3}","['Genetics', ' genomics', ' bioinformatics']","['dc-instructor', 'swc-instructor']","['2017-01-16', '2014-10-03']",2014-10-03,2017-01-16,,,2014-10-03,2014,Stansted,STN,51.885,0.235
University of Lancaster,UNIVERSITY OF LANCASTER,54.01048,-2.786905,United Kingdom,GB,North West,"2015-04-30-SFU,2016-12-07-uvic","2015-04-30,2016-12-07","{2015: 1, 2016: 1}","['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']","['swc-instructor', 'dc-instructor']","['2014-09-18', '2016-11-15']",2014-09-18,2016-11-15,,,2014-09-18,2014,Manchester,MAN,53.353611,-2.274722
The University of Manchester,THE UNIVERSITY OF MANCHESTER,53.467943000000005,-2.233222,United Kingdom,GB,North West,"2014-05-12-furg,2014-08-18-ufrj,2014-08-28-ufrgs,2014-09-01-ccsl,2014-09-04-ccsl,2014-12-11-ufsc,2015-06-19-labvis,2015-05-30-ufpr,2015-09-10-usp,2016-10-05-nottingham,2017-03-30-manchester,2017-06-21-qmul,2016-05-27-ccsl,2016-05-23-unicamp,2016-05-16-scipyla,2018-05-15-swc-manchester,2018-09-10-labvis,2019-09-03-UWC_Bellville,2019-09-16-Univeristy-of-Botswana-SAIS-UIG,2019-09-10-UWC_Bellville,2019-04-11-TIB","2014-05-12,2014-08-18,2014-08-28,2014-09-01,2014-09-04,2014-12-11,2015-06-19,2015-05-30,2015-09-10,2016-10-05,2017-03-30,2017-06-21,2016-05-27,2016-05-23,2016-05-16,2018-05-15,2018-09-10,2019-09-03,2019-09-16,2019-09-10,2019-04-11","{2014: 6, 2015: 3, 2016: 4, 2017: 2, 2018: 2, 2019: 4}",['Computer science/electrical engineering'],"['swc-instructor', 'dc-instructor']","['2013-11-17', '2016-01-27']",2013-11-17,2016-01-27,,,2013-11-17,2013,Manchester,MAN,53.353611,-2.274722
Owen Stephens Consulting Ltd,OWEN STEPHENS CONSULTING LTD,52.285190500000006,-1.5200789,United Kingdom,GB,West Midlands,,,,['Library and information science'],['swc-instructor'],['2017-06-16'],2017-06-16,,,,2017-06-16,2017,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,"2015-04-16-imperial,2015-07-15-feltham","2015-04-16,2015-07-15",{2015: 2},"['High performance computing', 'Computer science/electrical engineering']",['swc-instructor'],['2014-11-05'],2014-11-05,,,,2014-11-05,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Cambridge,UNIVERSITY OF CAMBRIDGE,52.205317,0.11664200000000001,United Kingdom,GB,Eastern,2015-09-10-CAM,2015-09-10,{2015: 1},,['dc-instructor'],['2016-01-30'],,2016-01-30,,,2016-01-30,2016,Stansted,STN,51.885,0.235
The University of Manchester,THE UNIVERSITY OF MANCHESTER,53.467943000000005,-2.233222,United Kingdom,GB,North West,"2013-05-09-oxford,2014-01-14-manchester,2014-11-27-elixiruk-manchester,2016-01-26-london-nhm","2013-05-09,2014-01-14,2014-11-27,2016-01-26","{2013: 1, 2014: 2, 2016: 1}",,['swc-instructor'],['2013-11-17'],2013-11-17,,,,2013-11-17,2013,Manchester,MAN,53.353611,-2.274722
,,,,United Kingdom,GB,South East,2014-02-28-ethz,2014-02-28,{2014: 1},"['Physics', 'Mathematics/statistics', 'High performance computing', 'Space sciences']",['swc-instructor'],['2015-06-23'],2015-06-23,,,,2015-06-23,2015,London Gatwick,LGW,51.148056,-0.190278
IBM,IBM,51.507158600000004,-0.1124157,United Kingdom,GB,South East,,,,"['Computer science/electrical engineering', 'Psychology/neuroscience']",['swc-instructor'],['2015-05-26'],2015-05-26,,,,2015-05-26,2015,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,,,,"['Economics/business', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering']",['swc-instructor'],['2017-06-15'],2017-06-15,,,,2017-06-15,2017,London Heathrow,LHR,51.4775,-0.46138900000000005
Media Molecule,MEDIA MOLECULE,51.2355975,-0.5756399,United Kingdom,GB,South East,"2013-02-06-qmul,2014-05-08-soton","2013-02-06,2014-05-08","{2013: 1, 2014: 1}",,['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,London Heathrow,LHR,51.4775,-0.46138900000000005
Northumbria University Newcastle,NORTHUMBRIA UNIVERSITY NEWCASTLE,54.976769,-1.607512,United Kingdom,GB,North East,2015-06-18-StAndrews,2015-06-18,{2015: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['swc-instructor'],['2015-02-03'],2015-02-03,,,,2015-02-03,2015,Newcastle,NCL,55.0375,-1.6916669999999998
University of Hull,UNIVERSITY OF HULL,53.769661,-0.367171,United Kingdom,GB,Yorkshire and The Humber,2019-07-15-uw,2019-07-15,{2019: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'High performance computing']",['swc-instructor'],['2019-01-03'],2019-01-03,,,,2019-01-03,2019,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,"2014-11-24-leeds,2015-01-14-leeds,2015-08-26-leeds,2016-01-06-bristol,2016-01-18-leeds,2016-06-29-leeds,2017-01-18-bristol,2017-01-04-bristol,2017-09-26-Exeter","2014-11-24,2015-01-14,2015-08-26,2016-01-06,2016-01-18,2016-06-29,2017-01-18,2017-01-04,2017-09-26","{2014: 1, 2015: 2, 2016: 3, 2017: 3}","['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']","['swc-instructor', 'dc-instructor']","['2014-11-20', '2016-11-18']",2014-11-20,2016-11-18,,,2014-11-20,2014,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2018-12-06-edinburgh-dc-genomics,2019-02-20-edinburgh-sbs-dc,2019-04-23-Edinburgh-Dc-Genomics,2020-06-25-edinburgh-dc-genomics,2020-12-01-edinburgh-bio-online","2018-12-06,2019-02-20,2019-04-23,2020-06-25,2020-12-01","{2018: 1, 2019: 2, 2020: 2}","['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']",['dc-instructor'],['2018-02-01'],,2018-02-01,,,2018-02-01,2018,Edinburgh,EDI,55.95,-3.3725
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2013-04-04-ucl,2013-09-27-ucl,2014-05-19-ucl,2014-11-05-uclhep,2015-02-25-ucl,2015-06-18-ucl,2016-11-10-uclhep,2017-04-27-UCL_software_carpentry,2017-11-09-uclhep,2019-09-25-UCL_software_carpentry","2013-04-04,2013-09-27,2014-05-19,2014-11-05,2015-02-25,2015-06-18,2016-11-10,2017-04-27,2017-11-09,2019-09-25","{2013: 2, 2014: 2, 2015: 2, 2016: 1, 2017: 2, 2019: 1}",['Physics'],"['dc-instructor', 'swc-instructor']","['2016-11-15', '2012-12-20']",2012-12-20,2016-11-15,,,2012-12-20,2012,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Bristol,UNIVERSITY OF BRISTOL,51.459064,-2.6032919999999997,United Kingdom,GB,South West,"2013-07-15-bath,2013-09-12-bristol,2013-11-14-exeter","2013-07-15,2013-09-12,2013-11-14",{2013: 3},"['High performance computing', 'Chemistry']",['swc-instructor'],['2013-07-17'],2013-07-17,,,,2013-07-17,2013,Bristol,BRS,51.3825,-2.718889
University of Sheffield,UNIVERSITY OF SHEFFIELD,53.381409,-1.488709,United Kingdom,GB,Yorkshire and The Humber,,,,"['Physics', 'Space sciences', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2016-03-01'],2016-03-01,,,,2016-03-01,2016,Manchester,MAN,53.353611,-2.274722
University of Sheffield,UNIVERSITY OF SHEFFIELD,53.381409,-1.488709,United Kingdom,GB,Yorkshire and The Humber,,,,"['Psychology/neuroscience', 'Physics']",['swc-instructor'],['2015-07-11'],2015-07-11,,,,2015-07-11,2015,Manchester,MAN,53.353611,-2.274722
University of Cambridge,UNIVERSITY OF CAMBRIDGE,52.205317,0.11664200000000001,United Kingdom,GB,Eastern,"2017-01-18-CAM,2017-06-21-Crick,2017-09-11-cambridge,2018-02-22-KCL,2018-05-02-EMBL,2018-06-28-cambridge,2019-01-29-EMBL,2021-01-25-heidelberg,2022-01-31-heidelberg-online","2017-01-18,2017-06-21,2017-09-11,2018-02-22,2018-05-02,2018-06-28,2019-01-29,2021-01-25,2022-01-31","{2017: 3, 2018: 3, 2019: 1, 2021: 1, 2022: 1}","['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2016-11-11'],,2016-11-11,,,2016-11-11,2016,Stansted,STN,51.885,0.235
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,,,,,['swc-instructor'],['2016-03-04'],2016-03-04,,,,2016-03-04,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2016-01-11-huddersfield,2019-11-12-edinburgh-sbs","2016-01-11,2019-11-12","{2016: 1, 2019: 1}","['High performance computing', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']","['swc-instructor', 'dc-instructor']","['2015-12-08', '2017-01-16']",2015-12-08,2017-01-16,,,2015-12-08,2015,Edinburgh,EDI,55.95,-3.3725
Wellcome Trust Sanger Institute,WELLCOME TRUST SANGER INSTITUTE,52.0797171,0.1855874,United Kingdom,GB,Eastern,"2016-01-11-huddersfield,2017-07-03-ngb-leeds","2016-01-11,2017-07-03","{2016: 1, 2017: 1}","['Computer science/electrical engineering', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2016-03-01'],2016-03-01,,,,2016-03-01,2016,Stansted,STN,51.885,0.235
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,2016-06-16-leeds,2016-06-16,{2016: 1},['Humanities'],['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,,,,['Mathematics/statistics'],['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001
The University of Manchester,THE UNIVERSITY OF MANCHESTER,53.467943000000005,-2.233222,United Kingdom,GB,North West,"2017-11-06-manchester,2018-07-03-manchester,2018-11-19-manchester,2019-02-21-manchester,2019-05-09-manchester,2019-07-25-ttt-online-BST,2019-10-08-ttt-manchester,2020-01-20-ttt-CEST","2017-11-06,2018-07-03,2018-11-19,2019-02-21,2019-05-09,2019-07-25,2019-10-08,2020-01-20","{2017: 1, 2018: 2, 2019: 4, 2020: 1}","['High performance computing', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics']",['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,Manchester,MAN,53.353611,-2.274722
The University of Manchester,THE UNIVERSITY OF MANCHESTER,53.467943000000005,-2.233222,United Kingdom,GB,North West,,,,,['swc-instructor'],['2017-09-26'],2017-09-26,,,,2017-09-26,2017,Manchester,MAN,53.353611,-2.274722
Newcastle University,NEWCASTLE UNIVERSITY,54.980327,-1.6157270000000001,United Kingdom,GB,North East,,,,['Computer science/electrical engineering'],"['swc-instructor', 'dc-instructor']","['2016-03-29', '2021-03-22']",2016-03-29,2021-03-22,,,2016-03-29,2016,Newcastle,NCL,55.0375,-1.6916669999999998
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,,,,,['swc-instructor'],['2017-12-22'],2017-12-22,,,,2017-12-22,2017,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,"2018-09-24-Imperial,2020-12-07-spelman-SBDH","2018-09-24,2020-12-07","{2018: 1, 2020: 1}",['Computer science/electrical engineering'],['swc-instructor'],['2015-10-22'],2015-10-22,,,,2015-10-22,2015,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2017-09-25-UCL_software_carpentry,2019-07-15-UCL_software_carpentry","2017-09-25,2019-07-15","{2017: 1, 2019: 1}",,['swc-instructor'],['2017-11-13'],2017-11-13,,,,2017-11-13,2017,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Bradford,UNIVERSITY OF BRADFORD,53.791716,-1.7621330000000002,United Kingdom,GB,Yorkshire and The Humber,"2015-10-29-Leeds-DC,2016-12-05-oxford,2017-10-12-oxford-swc,2018-02-22-KCL,2018-10-17-oxford-swc,2018-05-03-KCL,2019-10-14-bradford,2021-02-18-kpoterlowicz","2015-10-29,2016-12-05,2017-10-12,2018-02-22,2018-10-17,2018-05-03,2019-10-14,2021-02-18","{2015: 1, 2016: 1, 2017: 1, 2018: 3, 2019: 1, 2021: 1}","['Genetics', ' genomics', ' bioinformatics', 'Education']",['dc-instructor'],['2016-01-30'],,2016-01-30,,,2016-01-30,2016,Manchester,MAN,53.353611,-2.274722
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,,,,['Computer science/electrical engineering'],['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,London Heathrow,LHR,51.4775,-0.46138900000000005
Ansys,ANSYS INC.,51.51805448,-0.128404328,United Kingdom,GB,London,"2021-03-19-ansys-online,2021-03-01-ansys,2021-04-08-ansys-online,2021-05-14-ansys-online,2021-06-11-ansys-online,2021-07-02-ansys-online","2021-03-01,2021-03-01,2021-04-08,2021-05-14,2021-06-11,2021-07-02",{2021: 6},"['Physics', 'Space sciences']",['swc-instructor'],['2015-12-08'],2015-12-08,,,,2015-12-08,2015,Stansted,STN,51.885,0.235
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,,,,"['Mathematics/statistics', 'Computer science/electrical engineering', 'Education']",['swc-instructor'],['2016-04-19'],2016-04-19,,,,2016-04-19,2016,London Heathrow,LHR,51.4775,-0.46138900000000005
UCL,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2015-11-10-UCL_software_carpentry,2016-12-13-UCL_software_carpentry,2015-06-18-ucl,2021-07-19-UCL-software-carpentry-online","2015-11-10,2016-12-13,2015-06-18,2021-07-19","{2015: 2, 2016: 1, 2021: 1}","['Psychology/neuroscience', 'Social sciences', 'Humanities']",['swc-instructor'],['2021-09-22'],2021-09-22,,,,2021-09-22,2021,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,"2016-02-17-UCL_software_carpentry,2015-11-10-UCL_software_carpentry,2016-09-22-UCL_software_carpentry,2018-09-06-oxford","2016-02-17,2015-11-10,2016-09-22,2018-09-06","{2016: 2, 2015: 1, 2018: 1}","['Mathematics/statistics', 'High performance computing', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2018-08-29'],2018-08-29,,,,2018-08-29,2018,London Heathrow,LHR,51.4775,-0.46138900000000005
Daresbury Laboratory,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,53.348725,-2.636473,United Kingdom,GB,South East,,,,"['High performance computing', 'Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2016-04-13'],2016-04-13,,,,2016-04-13,2016,Manchester,MAN,53.353611,-2.274722
University of Sheffield,UNIVERSITY OF SHEFFIELD,53.381409,-1.488709,United Kingdom,GB,Yorkshire and The Humber,"2017-07-26-Sheffield,2017-08-16-sheffield,2018-11-26-sheffield","2017-07-26,2017-08-16,2018-11-26","{2017: 2, 2018: 1}","['Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2017-06-15'],2017-06-15,,,,2017-06-15,2017,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564
University of St Andrews,UNIVERSITY OF ST ANDREWS,56.341205,-2.793016,United Kingdom,GB,Scotland,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-05-30-standrews,2019-09-23-standrews","2018-11-27,2018-12-10,2019-05-02,2019-05-30,2019-09-23","{2018: 2, 2019: 3}","['Mathematics/statistics', 'Computer science/electrical engineering']",['swc-instructor'],['2019-01-11'],2019-01-11,,,,2019-01-11,2019,RAF Leuchars Airport,ADX,56.3728981,-2.8684399
Kew Royal Botanic Gardens,KEW ROYAL BOTANIC GARDENS,51.4787438,-0.295573,United Kingdom,GB,London,,,,,['dc-instructor'],['2016-03-09'],,2016-03-09,,,2016-03-09,2016,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,,,,,['swc-instructor'],['2016-02-19'],2016-02-19,,,,2016-02-19,2016,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2017-04-27-UCL_software_carpentry,2018-06-26-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2020-09-30-UCL","2017-04-27,2018-06-26,2019-04-08,2020-09-30","{2017: 1, 2018: 1, 2019: 1, 2020: 1}",,['swc-instructor'],['2017-06-01'],2017-06-01,,,,2017-06-01,2017,London City,LCY,51.505,0.05416699999999999
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2017-07-25-UCL_software_carpentry,2017-10-12-london","2017-07-25,2017-10-12",{2017: 2},"['Computer science/electrical engineering', 'Mathematics/statistics', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2017-07-06'],2017-07-06,,,,2017-07-06,2017,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Huddersfield,UNIVERSITY OF HUDDERSFIELD,53.643730000000005,-1.777712,United Kingdom,GB,Yorkshire and The Humber,"2017-07-17-imperial,2017-07-19-imperial,2017-07-03-ngb-leeds","2017-07-17,2017-07-19,2017-07-03",{2017: 3},"['Education', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2017-01-24'],2017-01-24,,,,2017-01-24,2017,Manchester,MAN,53.353611,-2.274722
"EPCC, University of Edinburgh",UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,2016-02-16-EPCC,2016-02-16,{2016: 1},['Mathematics/statistics'],['dc-instructor'],['2018-05-15'],,2018-05-15,,,2018-05-15,2018,Edinburgh,EDI,55.95,-3.3725
"EPCC, The University of Edinburgh",UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2017-06-01-Belfast,2017-05-09-edinburgh,2019-06-10-york,2019-10-29-cardiff,2020-11-02-cardiff-online,2020-10-19-edinburgh-online,2021-01-18-edinburgh-online,2021-06-21-edinburgh-online,2021-06-14-edinburgh-online,2021-12-06-edinburgh-online","2017-06-01,2017-05-09,2019-06-10,2019-10-29,2020-11-02,2020-10-19,2021-01-18,2021-06-21,2021-06-14,2021-12-06","{2017: 2, 2019: 2, 2020: 2, 2021: 4}","['High performance computing', 'Mathematics/statistics', 'Computer science/electrical engineering']",['dc-instructor'],['2018-03-01'],,2018-03-01,,,2018-03-01,2018,Edinburgh,EDI,55.95,-3.3725
,,,,United Kingdom,GB,London,,,,,['swc-instructor'],['2018-02-05'],2018-02-05,,,,2018-02-05,2018,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,"2018-09-24-Imperial,2018-11-07-Imperial,2019-10-31-ttt-Imperial,2018-06-14-Imperial,2021-12-08-rslondon-python-online","2018-09-24,2018-11-07,2019-10-31,2018-06-14,2021-12-08","{2018: 3, 2019: 1, 2021: 1}",,['swc-instructor'],['2018-02-02'],2018-02-02,,,,2018-02-02,2018,London Heathrow,LHR,51.4775,-0.46138900000000005
