slug,humandate,start,end,tags,address,url
2016-05-04-instructor-training-ssi,"May 04-05, 2016",2016-05-04,2016-05-05,"[""TTT""]","Room 4325C, James Clerk Maxwell Building, The University of Edinburgh",https://swcarpentry.github.io/2016-05-04-instructor-training-ssi/
2016-04-18-leeds,"Apr 18-19, 2016",2016-04-18,2016-04-19,"[""SWC""]","Woodhouse Lane, Leeds, LS2 9JT",https://arcleeds.github.io/2016-04-18-leeds/
2016-03-23-Imperial,"Mar 23-24, 2016",2016-03-23,2016-03-24,"[""SWC""]","Imperial College London, Room TBC, TBC",https://hpcarcher.github.io/2016-03-23-Imperial/
2016-03-10-CDT-reg-medicine,"Mar 10-11, 2016",2016-03-10,2016-03-11,"[""SWC""]","Room C24, Sackville St Building, Sackville Street, Manchester",https://softwaresaved.github.io/2016-03-10-CDT-reg-medicine/
2016-03-08-TGAC,"Mar 08-09, 2016",2016-03-08,2016-03-09,"[""SWC""]","Darwin Room, Norwich Research Park, Norwich, NR4 7UH",https://mattdrew.github.io/2016-03-08-TGAC/
2016-02-17-UCL_software_carpentry,"Feb 17-18, 2016",2016-02-17,2016-02-18,"[""SWC""]","Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ",https://ucl-rits.github.io/2016-02-17-UCL_software_carpentry/
2016-02-16-EPCC,"Feb 16-17, 2016",2016-02-16,2016-02-17,"[""SWC""]","University of Edinburgh, Room 1026c, James Clerk Maxwell Building, King's Buildings, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",https://hpcarcher.github.io/2016-02-16-EPCC/
2016-01-26-london-nhm,"Jan 26-27, 2016",2016-01-26,2016-01-27,"[""DC""]","Natural History Museum, Cromwell Road, London, SW7 5BD",https://callaghanmt.github.io/2016-01-26-london-nhm/
2016-01-19-london-nhm,"Jan 19-20, 2016",2016-01-19,2016-01-20,"[""DC""]","Natural History Museum, Cromwell Road, London, SW7 5BD",https://callaghanmt.github.io/2016-01-19-london-nhm/
2016-01-18-leeds,"Jan 18-20, 2016",2016-01-18,2016-01-20,"[""SWC""]","School of Earth and Environment, University of Leeds, Leeds, LS2 9J",https://andreww.github.io/2016-01-18-leeds/
2016-01-11-dundee,"Jan 11-12, 2016",2016-01-11,2016-01-12,"[""SWC""]","Room 1G04, Dalhousie Building, University of Dundee, Dundee, Scotland, UK, DD1 4HN",https://widdowquinn.github.io/2016-01-11-dundee/
2016-01-11-huddersfield,"Jan 11-12, 2016",2016-01-11,2016-01-12,"[""SWC""]","School of Applied Sciences, Huddersfield, HD1 3DH",https://callaghanmt.github.io/2016-01-11-huddersfield/
2016-01-06-bristol,"Jan 06-08, 2016",2016-01-06,2016-01-08,"[""SWC""]","School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road, Bristol BS8 1RJ. United Kingdom",https://andreww.github.io/2016-01-06-bristol/
2015-12-15-Southampton,"Dec 15-15, 2015",2015-12-15,2015-12-15,"[""SWC""]","Room 2207 & Room 2209, Building 85",https://southampton-rsg.github.io/2015-12-15-Southampton/
2015-12-14-Portsmouth,"Dec 14-15, 2015",2015-12-14,2015-12-15,"[""SWC""]","University of Portsmouth, Room DS1.09, Dennis Sciama Bldg, Burnaby Road, Portsmouth, P01 3FX",https://hpcarcher.github.io/2015-12-14-Portsmouth/
2015-12-wise-uk,"Dec 14-15, 2015",2015-12-14,2015-12-15,"[""SWC"", ""WiSE""]","Atlas and Collab1 rooms, Kilburn Building, Oxford Road,  M13 9PL Manchester",https://apawlik.github.io/2015-12-wise-uk/
2015-11-25-edinburgh,"Nov 25-26, 2015",2015-11-25,2015-11-26,"[""SWC""]","Room 4325D, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD.",https://marioa.github.io/2015-11-25-edinburgh/
2015-11-23-instructor-training-manchester,"Nov 23-24, 2015",2015-11-23,2015-11-24,"[""TTT"", ""stalled""]","Atlas Rooms 1 and 2, Kilburn Building, School of Computer Science, University of Manchester, Oxford Road, Manchester M13 9PL",https://apawlik.github.io/2015-11-23-instructor-training-manchester/
2015-11-16-manchester-codima,"Nov 16-17, 2015",2015-11-16,2015-11-17,"[""SWC""]","University Place, Oxford Road, Manchester",https://kkwakwa.github.io/2015-11-16-manchester-codima/
2015-11-10-UCL_software_carpentry,"Nov 10-11, 2015",2015-11-10,2015-11-11,"[""SWC""]","ISD Training Room B07, 1-19 Torrington Place, London WC1E 7HB",https://ucl-rits.github.io/2015-11-10-UCL_software_carpentry/
2015-11-09-culham,"Nov 09-10, 2015",2015-11-09,2015-11-10,"[""SWC""]","Abingdon, Oxfordshire, OX14 3DB, UK",https://kpalamartchouk.github.io/2015-11-09-culham/
2015-11-09-manchester,"Nov 09-10, 2015",2015-11-09,2015-11-10,"[""SWC""]","PC Cluster 2 bay D, Stopford Building, Oxford Road, Manchester, M13 9PT",https://anenadic.github.io/2015-11-09-manchester/
2015-10-29-Leeds-DC,"Oct 29-30, 2015",2015-10-29,2015-10-30,"[""DC""]",TBC,https://hpcarcher.github.io/2015-10-29-Leeds-DC/
2015-09-28-oxford,"Sep 28-29, 2015",2015-09-28,2015-09-29,"[""SWC""]","South Parks Road, OX1 3PS",https://jpallen.github.io/2015-09-28-oxford/
2015-09-17-southampton,"Sep 17-18, 2015",2015-09-17,2015-09-18,"[""SWC""]","Room 3077, Building 32,",https://southampton-rsg.github.io/2015-09-17-southampton/
2015-09-10-leeds,"Sep 10-11, 2015",2015-09-10,2015-09-11,"[""SWC""]","Liberty Building G33, University of Leeds Business School, LS6 1AN",https://callaghanmt.github.io/2015-09-10-leeds/
2015-09-10-CAM,"Sep 10-11, 2015",2015-09-10,2015-09-11,"[""DC""]","Bioinformatics Training Room, Craik-Marshall Building, Downing Site",https://lgatto.github.io/2015-09-10-CAM/
2015-09-07-guildford,"Sep 07-08, 2015",2015-09-07,2015-09-08,"[""SWC""]","University of Surrey, Guildford",https://dpshelio.github.io/2015-09-07-guildford/
2015-08-26-leeds,"Aug 26-28, 2015",2015-08-26,2015-08-28,"[""SWC""]","School of Earth and Environment, University of Leeds, Leeds, LS2 9JT",https://andreww.github.io/2015-08-26-leeds/
2015-07-15-feltham,"Jul 15-17, 2015",2015-07-15,2015-07-17,"[""SWC""]","Clockhouse Place, Bedfont Road, Feltham, Middlesex TW14 8HD",https://harnesscloud.github.io/2015-07-15-feltham/
2015-06-18-StAndrews,"Jun 18-19, 2015",2015-06-18,2015-06-19,"[""SWC""]","School of Physics and Astronomy, University of St Andrews, North Haugh, St Andrewws, KY16 9SS, Scotland",https://lmwake.github.io/2015-06-18-StAndrews/
2015-06-18-ucl,"Jun 18-19, 2015",2015-06-18,2015-06-19,"[""SWC""]","Cruciform B115A Cluster, University College London",https://ucl.github.io/2015-06-18-ucl-swcarpentry/
2015-06-15-cambridge,"Jun 15-16, 2015",2015-06-15,2015-06-16,"[""SWC""]"," Craik-Marshall Building, Downing Site, Cambridge",https://aaren.github.io/2015-06-15-cambridge/
2015-04-16-imperial,"Apr 16-17, 2015",2015-04-16,2015-04-17,"[""SWC""]","Imperial College London, ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",https://hpcarcher.github.io/2015-04-16-imperial/
2015-02-25-ucl,"Feb 25-26, 2015",2015-02-25,2015-02-26,"[""SWC""]","1-19 Torrington Place, London",https://ucl.github.io/2015-02-25/
2015-02-03-CDT-reg-medicine,"Feb 03-04, 2015",2015-02-03,2015-02-04,"[""SWC""]","Room C24 in the Sackville St Building, Sackville Street, Manchester",https://apawlik.github.io/2015-02-03-CDT-reg-medicine/
2015-01-14-leeds,"Jan 14-15, 2015",2015-01-14,2015-01-15,"[""SWC""]","School of Earth and Environment, University of Leeds, Leeds, LS2 9JT",https://andreww.github.io/2015-01-14-leeds/
2015-01-14-oxford,"Jan 14-15, 2015",2015-01-14,2015-01-15,"[""SWC""]","Atmospheric Oceanic and Planetary Physics Department, Dobson Room, Atmospheric Physics Building, Sherrington Road, Oxford",https://jpallen.github.io/2015-01-14-oxford/
2015-01-13-oxford,"Jan 13-14, 2015",2015-01-13,2015-01-14,"[""SWC""]","Wellcome Trust for Human Genetics, Roosevelt Drive, Oxford, OX3 7BN",https://philipwfowler.github.io/2015-01-13-oxford/
2014-12-11-ugsupa,"Dec 11-12, 2014",2014-12-11,2014-12-12,"[""SWC""]","Lab 323, Kelvin Building, G12 8SU",https://supa-uk.github.io/2014-12-11-ugsupa/
2014-12-03-edinburgh,"Dec 03-04, 2014",2014-12-03,2014-12-04,"[""SWC""]","Room 3217, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",https://hpcarcher.github.io/2014-12-03-edinburgh/
2014-11-27-elixiruk-manchester,"Nov 27-28, 2014",2014-11-27,2014-11-28,"[""SWC""]","Atlas 1-2 Room, Kilburn Building, Oxford Road, M13 9PL Manchester",https://apawlik.github.io/2014-11-27-elixiruk-manchester/
2014-11-24-leeds,"Nov 24-25, 2014",2014-11-24,2014-11-25,"[""SWC""]","Charles Thackrah Building, University of Leeds, Leeds, LS2 9JT",https://andreww.github.io/2014-11-24-leeds/
2014-11-17-liverpool,"Nov 17-18, 2014",2014-11-17,2014-11-18,"[""SWC""]","Foresight Centre, 1 Brownlow Street, Liverpool, L69 3GL",https://kkwakwa.github.io/2014-11-17-liverpool/
2014-11-10-manchester,"Nov 10-14, 2014",2014-11-10,2014-11-14,"[""SWC""]","29 Grafton Street, Manchester, M13 9WU",https://anenadic.github.io/2014-11-10-manchester/
2014-11-05-UCL,"Nov 05-06, 2014",2014-11-05,2014-11-06,"[""SWC""]","Gordon House 106 29 Gordon Square, London, WC1H 0PP",https://ucl.github.io/2014-11-05-UCL/
2014-11-05-uclhep,"Nov 05-06, 2014",2014-11-05,2014-11-06,"[""SWC""]",University College London,http://cannot.find.url/2014-11-05-uclhep/
2014-09-16-imperial,"Sep 16-17, 2014",2014-09-16,2014-09-17,"[""SWC""]","Room 1.51, Royal School of Mines (RSM) Building, South Kensington Campus, Imperial College London, London.",https://hpcarcher.github.io/2014-09-16-imperial/
2014-08-26-cam,"Aug 26-27, 2014",2014-08-26,2014-08-27,"[""SWC""]","Craik-Marshall Building, University of Cambridge, Downing Site, Cambridge, CB2 3AR",https://rbeagrie.github.io/2014-08-26-cam/
2014-07-21-cranfield,"Jul 21-23, 2014",2014-07-21,2014-07-23,"[""SWC""]","Computer Teaching Suite (room 252), Whittle Building (building 52), College Road, Cranfield, MK43 0AL",https://hpcarcher.github.io/2014-07-21-cranfield/
2014-07-10-Nottingham,"Jul 10-11, 2014",2014-07-10,2014-07-11,"[""SWC""]","University Park, NG7 2RD, Nottingham",https://DevasenaInupakutika.github.io/2014-07-10-Nottingham/
2014-06-25-Reading,"Jun 25-26, 2014",2014-06-25,2014-06-26,"[""SWC""]","Department of Meteorology, Whiteknights, Earley Gate,Reading, RG6 7BE, Berkshire",https://DevasenaInupakutika.github.io/2014-06-25-Reading/
2014-05-19-ucl,"May 19-20, 2014",2014-05-19,2014-05-20,"[""SWC""]",University College London,http://cannot.find.url/2014-05-19-ucl/
2014-05-08-soton,"May 08-09, 2014",2014-05-08,2014-05-09,"[""SWC""]","Waterfront Campus, European Way, Southampton, Hampshire, SO14 3ZH",https://DevasenaInupakutika.github.io/2014-05-08-soton/
2014-04-09-GARNET,"Apr 09-10, 2014",2014-04-09,2014-04-10,"[""SWC""]","School of Life Sciences on Gibbet Hill Campus, Coventry",https://apawlik.github.io/2014-04-09-GARNET/
2014-02-18-UCL,"Feb 18-19, 2014",2014-02-18,2014-02-19,"[""SWC""]",London,https://apawlik.github.io/2014-02-18-UCL/
2014-02-03-TGAC,"Feb 03-04, 2014",2014-02-03,2014-02-04,"[""SWC""]","Norwich Research Park, Norwich",https://apawlik.github.io/2014-02-03-TGAC/
2014-01-14-manchester,"Jan 14-15, 2014",2014-01-14,2014-01-15,"[""SWC""]","Room IT407, Information Technology Building, University of Manchester, Oxford Road, M13 9PL",https://apawlik.github.io/2014-01-14-manchester/
2014-01-07-cam,"Jan 07-08, 2014",2014-01-07,2014-01-08,"[""SWC""]","Wilberforce Road, Cambridge",https://sje30.github.io/2014-01-07-cam/
2013-12-16-dundee,"Dec 16-17, 2013",2013-12-16,2013-12-17,"[""SWC""]","College of Life Sciences, University of Dundee, Dundee DD1 5EH",https://davidmam.github.io/2013-12-16-dundee/
2013-12-12-glasgow,"Dec 12-12, 2013",2013-12-12,2013-12-12,"[""SWC""]","Room 320, Kelvin Building",https://bendmorris.github.io/2013-12-12-glasgow/
2013-12-03-edinburgh,"Dec 03-04, 2013",2013-12-03,2013-12-04,"[""SWC""]","Room 3217, James Clark Maxwell Building, Kings Buildings, Mayfield Road, Edinburgh, EH9 3JZ",https://mikej888.github.io/2013-12-03-edinburgh/
2013-11-14-exeter,"Nov 14-15, 2013",2013-11-14,2013-11-15,"[""SWC""]","Reed Hall, Streatham Drive, Exeter, Devon EX4 4QR",https://chryswoods.github.io/2013-11-14-exeter/
2013-10-24-greenwich,"Oct 24-25, 2013",2013-10-24,2013-10-25,"[""SWC""]","11th Floor, Greenwich Digital Enterprise Centre, 6 Mitre Passage, London SE10 0ER",https://swcarpentry.github.io/2013-10-24-greenwich/
2013-09-27-ucl,"Sep 27-28, 2013",2013-09-27,2013-09-28,"[""SWC""]",University College London,http://cannot.find.url/2013-09-27-ucl/
2013-09-12-bristol,"Sep 12-13, 2013",2013-09-12,2013-09-13,"[""SWC""]", ,https://swcarpentry.github.io/2013-09-12-bristol/
2013-07-15-bath,"Jul 15-16, 2013",2013-07-15,2013-07-16,"[""SWC""]", ,https://swcarpentry.github.io/2013-07-15-bath/
2013-06-03-southampton,"Jun 03-04, 2013",2013-06-03,2013-06-04,"[""SWC""]", ,https://swcarpentry.github.io/2013-06-03-southampton/
2013-05-09-oxford,"May 09-10, 2013",2013-05-09,2013-05-10,"[""SWC""]", ,https://swcarpentry.github.io/2013-05-09-oxford/
2013-04-18-manchester,"Apr 18-19, 2013",2013-04-18,2013-04-19,"[""SWC""]", ,https://swcarpentry.github.io/2013-04-18-manchester/
2013-04-04-ucl,"Apr 04, 2013-???",2013-04-04,,"[""SWC""]", ,https://swcarpentry.github.io/2013-04-04-ucl/
2013-02-06-qmul,"Feb 06-07, 2013",2013-02-06,2013-02-07,"[""SWC""]",Queen Mary University London,http://cannot.find.url/2013-02-06-qmul/
2012-12-04-edinburgh,"Dec 04-05, 2012",2012-12-04,2012-12-05,"[""SWC""]", ,https://swcarpentry.github.io/2012-12-04-edinburgh/
2012-10-30-oxford,"Oct 30-31, 2012",2012-10-30,2012-10-31,"[""SWC""]",New Biochemistry,https://swcarpentry.github.io/2012-10-30-oxford/
2012-09-13-dafx,"Sep 13-14, 2012",2012-09-13,2012-09-14,"[""SWC""]",University of York,https://swcarpentry.github.io/2012-09-13-dafx/
2012-07-10-ral,"Jul 10-12, 2012",2012-07-10,2012-07-12,"[""SWC""]", , 
2012-05-14-newcastle,"May 14-15, 2012",2012-05-14,2012-05-15,"[""SWC""]", ,https://swcarpentry.github.io/2012-05-14-newcastle/
2012-04-30-ucl,"Apr 30-May 01, 2012",2012-04-30,2012-05-01,"[""SWC""]", ,https://swcarpentry.github.io/2012-04-30-ucl/
